appid,name,price,recommendations,metacritic,controller_support,developers,publishers,platforms_windows,platforms_mac,platforms_linux,release_date,minimum_req,recommended_req,categories,genres,header_image
2456300,汉末霸业免费版,Free,N/A,N/A,N/A,LongYou Game Studio,LongYou Game Studio,True,False,False,"Nov 7, 2023","{'OS': 'Windows 7sp1 or Windows 10 需要64位处理器和操作系统', 'Processor': 'Intel Core2 Duo E6550 or AMD equivalent or above', 'Memory': '2 GB RAM', 'Graphics': 'NVIDIA Geforce GT440（512M）or AMD Radeon equivalent or above', 'DirectX': 'Version 9.0', 'Network': 'Broadband Internet connection', 'Storage': '3 GB available space'}","{'OS': 'Windows 7sp1 or Windows 10  需要64位处理器和操作系统', 'Processor': 'i3 or AMD equivalent or above', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA Geforce GTX560se or AMD Radeon equivalent or above', 'DirectX': 'Version 9.0', 'Network': 'Broadband Internet connection', 'Storage': '3 GB available space'}","['Single-player', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud']","['Simulation', 'Strategy', 'Free To Play']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2456300/header.jpg?t=1720158067
2552330,AutoDepth Image Viewer,$9.99,N/A,N/A,N/A,Bolt-Scripts,Bolt-Scripts,True,False,False,"Oct 27, 2023","{'OS': 'Windows 10', 'Processor': 'Intel i5-4590 / AMD Ryzen 5 1500X or greater', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA GTX 1060', 'DirectX': 'Version 11', 'Storage': '8 GB available space', 'VR Support': 'SteamVR', 'Additional Notes': 'A CUDA capable NVidia GPU is recommended'}",{},"['VR Supported', 'Partial Controller Support']","['Photo Editing', 'Utilities']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2552330/header.jpg?t=1701321911
1709210,Love Duction! The Guide for Galactic Lovers,$12.99,N/A,N/A,N/A,US8,Sekai Project,True,True,True,"Oct 15, 2021","{'OS *': 'Windows Vista or higher', 'Processor': '2.0 GHz Core 2 Duo', 'Memory': '2 GB RAM', 'Graphics': 'OpenGL 2.0 or DirectX 9.0c', 'DirectX': 'Version 9.0c', 'Storage': '2200 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Adventure', 'Casual']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1709210/header.jpg?t=1634603038
1191770,混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,$0.99,N/A,N/A,N/A,冷笑黑妖,冷笑黑妖,True,False,False,"Sep 20, 2022","{'OS': 'Win7+', 'Memory': '2 GB RAM', 'Graphics': '2G', 'Storage': '1 GB available space', 'Additional Notes': '推荐1920x1080分辨率,Alt+Enter窗口化。'}",{},"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1191770/header.jpg?t=1666167334
1681920,Medieval Arms,$14.99,N/A,N/A,N/A,GoodlineGames,GoodlineGames,True,False,False,"Nov 11, 2021","{'OS *': 'Windows 7 32 Bit,Windows 7 64 Bit, Windows 10 32 Bit, Windows 10 64 Bit', 'Processor': 'i5-2500k', 'Memory': '2 GB RAM', 'Graphics': '960 gtx', 'Storage': '1 GB available space', 'Sound Card': 'N/A'}",{},"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Action', 'Indie', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1681920/header.jpg?t=1695977207
2149900,The Moon Hell,$10.99,121,N/A,N/A,A.M. Team,A.M. Team,True,False,False,"Feb 16, 2023","{'OS *': 'Windows 7 SP1 64-bit, Windows 10 64-bit', 'Processor': 'AMD FX-6000 series | Intel i3 Skylake', 'Memory': '8 GB RAM', 'Graphics': 'AMD Radeon R9 280 | NVIDIA GeForce GTX 760 (Windows 10) | NVIDIA GeForce GTX 1050 (Windows 7)', 'DirectX': 'Version 11', 'Storage': '19 GB available space', 'Sound Card': 'DirectX compatible'}","{'OS': 'Windows 10 64-bit', 'Processor': 'AMD Ryzen 3 | Intel i5 Skylake', 'Memory': '16 GB RAM', 'Graphics': 'AMD Radeon RX 570 | NVIDIA GeForce GTX 970 (Windows 10) | NVIDIA GeForce GTX 1660ti', 'DirectX': 'Version 11', 'Storage': '19 GB available space', 'Sound Card': 'DirectX compatible'}","['Single-player', 'Family Sharing']","['Indie', 'RPG']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2149900/header.jpg?t=1721331544
2355000,Girl Survivors,$4.99,N/A,N/A,N/A,That Girl,That Girl,True,False,False,"Apr 12, 2023","{'OS': 'win11', 'Processor': 'i5-12490f', 'Memory': '16 GB RAM', 'Graphics': '3060', 'Network': 'Broadband Internet connection', 'Storage': '10 GB available space'}",{},"['Single-player', 'Multi-player', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2355000/header.jpg?t=1685967075
1686860,NeverDeath,$19.99,N/A,N/A,N/A,Greedy Merchant,Greedy Merchant,True,False,False,"Apr 25, 2022","{'OS *': 'Windows 7 or Windows 10', 'Processor': 'x86, x64 architecture with SSE2 instruction set support', 'Memory': '8 GB RAM', 'Graphics': 'DX10, DX11, DX12 capable', 'Storage': '6 GB available space'}",{},"['Multi-player', 'PvP', 'Online PvP', 'Family Sharing']","['Action', 'Adventure', 'Casual']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1686860/header.jpg?t=1689029617
3295350,StarSim: BattleZone,Free,N/A,N/A,N/A,Viktor Martynovsky,Viktor Martynovsky,True,False,False,2025,"{'OS': 'Windows 10 / 11', 'Processor': 'Core i5 3 GHz+', 'Memory': '8 GB RAM', 'Graphics': '2 GB Direct3D 11 Capable video card or better', 'Storage': '1 GB available space'}","{'OS': 'Windows 10 / 11', 'Processor': 'Core i5 3 GHz+', 'Memory': '8 GB RAM', 'Graphics': '2 GB Direct3D 11 Capable video card or better', 'Storage': '1 GB available space'}","['Single-player', 'Family Sharing']",['Strategy'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3295350/header.jpg?t=1737641518
3094650,Forsaken Ones,$1.99,N/A,N/A,N/A,Verossim,Verossim,True,False,False,"Mar 27, 2025","{'OS': 'Windows 10 (64-bit)', 'Processor': 'Intel Core i3-2100 or AMD FX-6300', 'Memory': '4 GB RAM', 'Graphics': 'NVIDIA GeForce GTX 750 Ti or AMD Radeon HD 7850 with 2 GB VRAM, DirectX 11 compatible', 'DirectX': 'Version 11', 'Storage': '3 GB available space', 'Sound Card': 'DirectX compatible'}","{'OS': 'Windows 10 (64-bit)', 'Processor': 'Intel Core i5-6600 or AMD Ryzen 5 2600', 'Memory': '8 GB RAM', 'Graphics': 'NVIDIA GeForce GTX 1060 or AMD Radeon RX 580 with 4 GB VRAM, DirectX 12 compatible', 'DirectX': 'Version 12', 'Storage': '8 GB available space', 'Sound Card': 'DirectX compatible'}","['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3094650/header.jpg?t=1743109584
1666850,More. The Eternal Utopia,$0.79,N/A,N/A,N/A,"Víctor Atobas, Zoozobra Studios",Zoozobra Studios,True,False,False,"Jul 9, 2021","{'OS *': 'Windows XP SP2+', 'Processor': 'Intel Centrino 2', 'Memory': '1 GB RAM', 'Graphics': 'ATI Radeon HD 4850 or NVIDIA GeForce 9600 GT', 'Storage': '450 MB available space', 'Sound Card': 'DirectX compatible sound card'}",{},"['Single-player', 'Family Sharing']",['Indie'],https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1666850/header.jpg?t=1625821210
2457030,GT Manager,$19.99,N/A,N/A,N/A,"THE TINY DIGITAL FACTORY, IMV Studio",THE TINY DIGITAL FACTORY,True,True,False,"Sep 18, 2024","{'OS *': 'Windows 7/8/10/11', 'Processor': 'Intel Core i3 Quad-Core or more, Ryzen', 'Memory': '8 GB RAM', 'Graphics': 'Nvidia GeForce or AMD Radeon with 2GB VRAM', 'Storage': '4 GB available space'}",{},"['Single-player', 'Steam Achievements', 'Family Sharing']","['Racing', 'Simulation', 'Sports', 'Strategy', 'Early Access']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2457030/header.jpg?t=1726681737
2308050,Christmas Smash,Free,N/A,N/A,full,ArcadeNightmare,ArcadeNightmare,True,False,False,Q4 2025,"{'OS *': 'Microsoft® Windows® Vista / 7 / 8 / 10 / 11', 'Processor': '2.4 GHz Intel Core 2 Duo or better', 'Memory': '4 GB RAM', 'Graphics': 'OpenGL 3.2 compatible GPU with at least 256MB of VRAM', 'Storage': '300 MB available space', 'Additional Notes': 'PS4 or Xbox 360 Controller or Direct Input compatible controller'}","{'OS *': 'Microsoft® Windows® Vista / 7 / 8 / 10 / 11', 'Processor': '2.8 GHz Intel Core 2 Duo or better', 'Memory': '6 GB RAM', 'Graphics': 'OpenGL 3.2 compatible GPU with at least 512MB of VRAM', 'Storage': '300 MB available space', 'Additional Notes': 'PS4 or Xbox 360 Controller or Direct Input compatible controller'}","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2308050/ccdb816c02f39e56f3298260b9871f04d1a7e8e7/header.jpg?t=1744323512
